Word	Meaning	Confused
bizatihi	kendinden, özünden, aslından; kendiliğinden	bizzat
bizzat	kendisi, kendi, şahsen; doğrudan doğruya	bizatihi
defaten	bir defada, tek seferde	defalarca
grup	küme, öbek, takım	gurup
gurup	güneşin batması, gün batımı	grup
konformist	uyumlu, itaatkâr	konforuna düşkün
mahiyet	bir şeyin ne olduğunu belirleyen asıl unsur, nitelik	maiyet
mahsun	tahkim edilmiş, dayanıklı hâle getirilmiş	mahzun
mahsur	kuşatılmış, sarılmış	mahzur
mahzun	hüzünlü, üzüntülü	mahsun
mahzur	sakınca	mahsur
maiyet	üst görevlinin yanında bulunan kimseler, alt kademedekiler	mahiyet
mihnet	sıkıntı, eziyet, dert, zorluk, meşakkat	minnet
minnet	iyilik karşısında kendini borçlu hissetme, gönül borcu	mihnet
musır	ısrar eden, ısrarcı	muzır
muzır	zarar veren, zararlı	musır
mütevazi	paralel	mütevazı
mütevazı	tevazu sahibi	mütevazi
nahif	duygulu, hassas, ince	naif
naif	saf, deneyimsiz	nahif
savap	doğruluk, doğru olan şey, hata karşıtı	sevap
sevap	iyi davranış karşılığında Allah'ın verdiği mükâfat	savap
sukut	düşme, devrilme, sarkma	sükût
sükût	susma, sessizlik, konuşmama	sukut
takdir	beğenme, beğenip belirtme	taktir
taktir	damıtma	takdir
uhde	birinin yapmakla yükümlü olduğu iş, görev, sorumluluk	ukde
ukde	düğüm, yumru, içe dert olan şey	uhde
umarsız	çaresiz	umursamaz
vasi	hukuki işlem yapamayan kimselere atanan temsilci	vâsi
vâsi	geniş, engin	vasi
yakinen	kesin ve sağlam olarak bilme, şüphesiz	yakından
yakından	yakın olarak	yakinen
yayımlamak	kitap, gazete vb şeyleri basmak/dağıtmak, radyo/tv üzerinden sunmak, resmen ilan etmek	yayınlamak
yayın	yayımlamak eyleminin sonucunda ortaya çıkan ürün	yayım
zirâ	dirsekten orta parmak ucuna kadar olan uzunluk ölçüsü	zîra
zîra	çünkü, şundan dolayı	zirâ
